order_item_id,order_id,product_id,quantity,unit_price
ITM0000001,ORD000001,P0332,3,49564.87
ITM0000002,ORD000002,P0294,2,2380.98
ITM0000003,ORD000003,P0389,4,44632.93
ITM0000004,ORD000004,P0441,5,52789.89
ITM0000005,ORD000005,P0445,1,21305.14
ITM0000006,ORD000006,P0344,4,33910.36
ITM0000007,ORD000007,P0101,3,54837.96
ITM0000008,ORD000008,P0263,3,10662.28
ITM0000009,ORD000009,P0114,1,44428.77
ITM0000010,ORD000010,P0369,1,38962.89
ITM0000011,ORD000011,P0012,1,40809.49
ITM0000012,ORD000012,P0436,2,63992.44
ITM0000013,ORD000013,P0225,5,10785.03
ITM0000014,ORD000014,P0296,4,70369.22
ITM0000015,ORD000015,P0308,3,60112.88
ITM0000016,ORD000016,P0044,5,54963.17
ITM0000017,ORD000017,P0333,2,34458.33
ITM0000018,ORD000018,P0001,3,5538.72
ITM0000019,ORD000019,P0330,5,64432.51
ITM0000020,ORD000020,P0441,3,52789.89
ITM0000021,ORD000021,P0076,4,71793.82
ITM0000022,ORD000022,P0236,3,12499.55
ITM0000023,ORD000023,P0269,4,33707.81
ITM0000024,ORD000024,P0389,4,44632.93
ITM0000025,ORD000025,P0025,2,6963.72
ITM0000026,ORD000026,P0199,3,55689.48
ITM0000027,ORD000027,P0213,2,12998.33
ITM0000028,ORD000028,P0027,2,40118.22
ITM0000029,ORD000029,P0383,4,21969.99
ITM0000030,ORD000030,P0111,3,24994.84
ITM0000031,ORD000031,P0156,3,323.86
ITM0000032,ORD000032,P0109,5,1960.67
ITM0000033,ORD000033,P0133,4,54350.92
ITM0000034,ORD000034,P0261,5,48923.96
ITM0000035,ORD000035,P0194,2,43878.66
ITM0000036,ORD000036,P0120,1,37606.35
ITM0000037,ORD000037,P0276,1,60384.09
ITM0000038,ORD000038,P0346,2,32024.17
ITM0000039,ORD000039,P0101,2,54837.96
ITM0000040,ORD000040,P0190,4,57210.06
ITM0000041,ORD000041,P0348,4,12986.65
ITM0000042,ORD000042,P0046,4,27246.26
ITM0000043,ORD000043,P0366,1,32521.82
ITM0000044,ORD000044,P0230,2,27034.96
ITM0000045,ORD000045,P0430,1,47880.34
ITM0000046,ORD000046,P0454,4,46070.42
ITM0000047,ORD000047,P0155,3,2683.23
ITM0000048,ORD000048,P0444,3,48635.71
ITM0000049,ORD000049,P0237,4,44560.26
ITM0000050,ORD000050,P0454,4,46070.42
ITM0000051,ORD000051,P0089,4,27005.76
ITM0000052,ORD000052,P0456,2,32386.71
ITM0000053,ORD000053,P0199,2,55689.48
ITM0000054,ORD000054,P0483,4,51050.0
ITM0000055,ORD000055,P0228,5,3413.0
ITM0000056,ORD000056,P0161,1,673.17
ITM0000057,ORD000057,P0261,5,48923.96
ITM0000058,ORD000058,P0462,5,26550.21
ITM0000059,ORD000059,P0469,5,66694.66
ITM0000060,ORD000060,P0251,4,30372.16
ITM0000061,ORD000061,P0136,4,36981.64
ITM0000062,ORD000062,P0495,3,35639.64
ITM0000063,ORD000063,P0314,3,23113.47
ITM0000064,ORD000064,P0351,3,706.97
ITM0000065,ORD000065,P0333,2,34458.33
ITM0000066,ORD000066,P0482,3,48619.19
ITM0000067,ORD000067,P0430,5,47880.34
ITM0000068,ORD000068,P0365,3,41092.62
ITM0000069,ORD000069,P0071,5,70449.51
ITM0000070,ORD000070,P0182,2,6766.16
ITM0000071,ORD000071,P0229,4,48047.68
ITM0000072,ORD000072,P0404,3,16703.45
ITM0000073,ORD000073,P0450,1,8196.25
ITM0000074,ORD000074,P0493,2,49637.42
ITM0000075,ORD000075,P0244,4,9476.28
ITM0000076,ORD000076,P0239,4,30082.41
ITM0000077,ORD000077,P0286,4,48773.72
ITM0000078,ORD000078,P0145,1,21187.96
ITM0000079,ORD000079,P0136,2,36981.64
ITM0000080,ORD000080,P0012,4,40809.49
ITM0000081,ORD000081,P0216,4,71233.46
ITM0000082,ORD000082,P0182,1,6766.16
ITM0000083,ORD000083,P0158,5,41370.18
ITM0000084,ORD000084,P0228,3,3413.0
ITM0000085,ORD000085,P0103,3,60846.44
ITM0000086,ORD000086,P0046,1,27246.26
ITM0000087,ORD000087,P0163,4,11626.6
ITM0000088,ORD000088,P0393,2,23778.11
ITM0000089,ORD000089,P0334,2,41986.22
ITM0000090,ORD000090,P0031,5,6875.64
ITM0000091,ORD000091,P0302,1,62452.05
ITM0000092,ORD000092,P0404,1,16703.45
ITM0000093,ORD000093,P0330,1,64432.51
ITM0000094,ORD000094,P0293,3,913.75
ITM0000095,ORD000095,P0379,1,17904.2
ITM0000096,ORD000096,P0408,4,57322.44
ITM0000097,ORD000097,P0191,4,7179.43
ITM0000098,ORD000098,P0183,5,34275.03
ITM0000099,ORD000099,P0077,2,38726.44
ITM0000100,ORD000100,P0382,3,34100.67
ITM0000101,ORD000101,P0370,3,23766.12
ITM0000102,ORD000102,P0176,2,32684.13
ITM0000103,ORD000103,P0269,3,33707.81
ITM0000104,ORD000104,P0336,4,38995.55
ITM0000105,ORD000105,P0188,2,48857.95
ITM0000106,ORD000106,P0176,2,32684.13
ITM0000107,ORD000107,P0468,2,21878.79
ITM0000108,ORD000108,P0443,2,4575.03
ITM0000109,ORD000109,P0483,4,51050.0
